cellID/mutID	mut0	mut1	mut2	mut3	mut4	mut5	mut6
cell0	0	1	0	1	0	0	1
cell1	0	1	0	1	0	1	1
cell2	0	0	0	0	0	0	1
cell3	0	0	0	1	0	1	1
cell4	0	1	0	1	0	1	1
cell5	1	0	1	1	0	1	0
cell6	0	0	0	0	0	1	1
cell7	0	1	0	1	0	0	1
cell8	0	0	0	1	0	1	1
cell9	0	1	0	1	0	1	1
cell10	1	0	1	1	0	1	0
cell11	0	1	0	1	0	0	1
cell12	0	0	0	0	0	1	1
cell13	0	0	0	0	0	0	1
cell14	0	0	0	0	0	0	1
cell15	0	1	0	1	0	1	1
cell16	0	1	0	1	0	0	1
cell17	1	0	1	1	0	1	0
cell18	0	0	0	0	0	0	1
cell19	0	0	0	0	0	0	1
cell20	0	1	0	1	0	0	1
cell21	0	0	0	0	0	1	1
cell22	0	0	1	1	0	1	1
cell23	0	0	0	0	0	1	1
cell24	1	0	1	1	0	1	0
cell25	0	0	1	1	0	1	1
cell26	0	0	0	0	0	0	1
cell27	0	1	0	1	0	1	1
cell28	0	0	0	0	0	1	1
cell29	0	0	0	0	0	1	1
cell30	0	0	1	1	0	1	1
cell31	0	0	0	1	0	1	1
cell32	0	1	0	1	0	1	1
cell33	0	0	0	1	0	1	1
cell34	0	0	0	0	0	1	1
cell35	0	0	0	0	0	1	1
cell36	0	0	0	1	0	1	1
cell37	0	0	0	1	0	1	1
cell38	0	0	1	1	0	1	1
cell39	1	0	1	1	0	1	0
cell40	0	1	0	1	0	1	1
cell41	0	1	0	1	0	1	1
cell42	0	1	0	1	0	1	1
cell43	0	0	0	0	0	1	1
cell44	0	0	0	0	0	0	1
cell45	0	0	0	0	0	0	1
cell46	0	0	1	1	0	1	1
cell47	1	0	1	1	0	1	0
cell48	0	1	0	1	0	0	1
cell49	0	1	0	1	0	0	1
cell50	0	1	0	1	0	1	1
cell51	0	0	0	0	0	1	1
cell52	0	1	0	1	0	0	1
cell53	0	0	0	0	0	0	1
cell54	0	0	0	0	0	1	1
cell55	0	1	0	1	0	1	1
cell56	0	0	0	1	0	1	1
cell57	1	0	1	1	0	1	0
cell58	0	0	0	0	0	1	1
cell59	1	0	1	1	0	1	0
cell60	0	1	0	1	0	0	1
cell61	0	0	0	0	0	1	1
cell62	1	0	1	1	0	1	0
cell63	0	1	0	1	0	1	1
cell64	0	1	0	1	0	1	1
cell65	0	0	1	1	0	1	1
cell66	0	1	0	1	0	0	1
cell67	1	0	1	1	0	1	0
cell68	0	0	1	1	0	1	1
cell69	0	1	0	1	0	1	1
cell70	0	0	0	1	0	1	1
cell71	0	0	0	0	0	0	1
cell72	0	1	0	1	0	1	1
cell73	0	1	0	1	0	1	1
cell74	0	1	0	1	0	0	1
cell75	0	1	0	1	0	1	1
cell76	0	1	0	1	0	1	1
cell77	0	0	0	0	0	1	1
cell78	0	0	0	1	0	1	1
cell79	0	0	1	1	0	1	1
cell80	0	1	0	1	0	1	1
cell81	0	1	0	1	0	1	1
cell82	0	0	1	1	0	1	1
cell83	0	0	0	0	0	1	1
cell84	0	1	0	1	0	1	1
cell85	0	0	0	1	0	1	1
cell86	1	0	1	1	0	1	0
cell87	0	0	1	1	0	1	1
cell88	0	1	0	1	0	0	1
cell89	0	0	1	1	0	1	1
cell90	0	0	0	0	0	0	1
cell91	1	0	1	1	0	1	0
cell92	0	1	0	1	0	0	1
cell93	0	0	0	1	0	1	1
cell94	1	0	1	1	0	1	0
cell95	0	1	0	1	0	1	1
cell96	0	0	1	1	0	1	1
cell97	0	0	0	0	0	1	1
cell98	0	0	1	1	0	1	1
cell99	0	1	0	1	0	0	1
cell100	0	0	0	1	0	1	1
cell101	0	1	0	1	0	0	1
cell102	0	1	0	1	0	0	1
cell103	0	0	1	1	0	1	1
cell104	0	0	0	0	0	1	1
cell105	0	0	0	0	0	1	1
cell106	0	0	0	0	0	0	1
cell107	0	0	0	1	0	1	1
cell108	0	1	0	1	0	1	1
cell109	0	1	0	1	0	0	1
cell110	1	0	1	1	0	1	0
cell111	1	0	1	1	0	1	0
cell112	0	0	0	0	0	1	1
cell113	0	0	0	1	0	1	1
cell114	0	0	1	1	0	1	1
cell115	0	0	1	1	0	1	1
cell116	1	0	1	1	0	1	0
cell117	0	1	0	1	0	1	1
cell118	0	1	0	1	0	1	1
cell119	0	1	0	1	0	1	1
cell120	0	0	1	1	0	1	1
cell121	0	1	0	1	0	1	1
cell122	0	1	0	1	0	1	1
cell123	0	0	0	1	0	1	1
cell124	0	1	0	1	0	0	1
cell125	0	0	0	0	0	0	1
cell126	0	0	0	1	0	1	1
cell127	0	0	0	0	0	1	1
cell128	0	1	0	1	0	1	1
cell129	0	1	0	1	0	1	1
cell130	0	0	0	0	0	0	1
cell131	0	0	0	1	0	1	1
cell132	1	0	1	1	0	1	0
cell133	0	0	0	1	0	1	1
cell134	0	0	0	1	0	1	1
cell135	0	0	0	1	0	1	1
cell136	0	0	1	1	0	1	1
cell137	0	0	0	1	0	1	1
cell138	0	0	0	0	0	1	1
cell139	0	1	0	1	0	1	1
cell140	0	1	0	1	0	1	1
cell141	0	0	0	1	0	1	1
cell142	0	0	0	0	0	0	1
cell143	0	1	0	1	0	0	1
cell144	0	0	0	0	0	1	1
cell145	0	0	0	0	0	1	1
cell146	0	1	0	1	0	0	1
cell147	1	0	1	1	0	1	0
cell148	0	0	0	0	0	0	1
cell149	0	0	0	1	0	1	1
cell150	0	1	0	1	0	1	1
cell151	0	0	1	1	0	1	1
cell152	0	0	0	0	0	1	1
cell153	1	0	1	1	0	1	0
cell154	1	0	1	1	0	1	0
cell155	1	0	1	1	0	1	0
cell156	0	0	0	0	0	0	1
cell157	0	0	1	1	0	1	1
cell158	0	0	0	0	0	1	1
cell159	0	0	1	1	0	1	1
cell160	0	0	1	1	0	1	1
cell161	0	0	0	0	0	0	1
cell162	0	0	0	0	0	1	1
cell163	1	0	1	1	0	1	0
cell164	0	1	0	1	0	1	1
cell165	0	1	0	1	0	0	1
cell166	0	0	1	1	0	1	1
cell167	0	0	1	1	0	1	1
cell168	0	1	0	1	0	1	1
cell169	0	0	0	0	0	1	1
cell170	0	0	0	1	0	1	1
cell171	0	0	0	0	0	1	1
